Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6763298559	30.2745456696	-1.1430572271
0.6763877105	30.3479175568	-1.1443743706
0.6764455996	30.3855171204	-1.1450452805
0.6765034539	30.4363803864	-1.1459485292
0.6765613549	30.5003719330	-1.1470777988
0.6766192095	30.5466308594	-1.1478892565
0.6766770641	30.5338802338	-1.1476659775
0.6767349414	30.5321922302	-1.1476364136
0.6767928193	30.6111793518	-1.1490147114
0.6768506739	30.6776771545	-1.1501659155
0.6769085516	30.7456474304	-1.1513340473
0.6769664292	30.8183479309	-1.1525739431
0.6770242861	30.8700160980	-1.1534491777
0.6770821865	30.9425468445	-1.1546695232
0.6771400414	30.9956932068	-1.1555576324
0.6771979035	31.0625572205	-1.1566677094
0.6772557811	31.1150341034	-1.1575332880
0.6773136357	31.1441459656	-1.1580113173
0.6773715133	31.2017669678	-1.1589530706
0.6774293912	31.2572345734	-1.1598540545
0.6774872690	31.2828426361	-1.1602681875
0.6775451235	31.3192768097	-1.1608554125
0.6776030011	31.3889141083	-1.1619713306
0.6776608787	31.4512481689	-1.1629630327
0.6777187333	31.5168380737	-1.1639993191
0.6777766110	31.5697917938	-1.1648305655
0.6778344886	31.6043643951	-1.1653707027
0.6778923431	31.6390457153	-1.1659104824
0.6779502436	31.7008724213	-1.1668677330
0.6780080984	31.7489490509	-1.1676076651
0.6780659529	31.7711868286	-1.1679486036
0.6781238307	31.7961101532	-1.1683297157
0.6781817083	31.8504123688	-1.1691565514
0.6782395628	31.9023380280	-1.1699426174
0.6782974405	31.9280700684	-1.1703305244
0.6783553181	31.9464607239	-1.1706070900
0.6784131727	31.9813594818	-1.1711304188
0.6784710731	32.0383987427	-1.1719814539
0.6785289302	32.0841026306	-1.1726595163
0.6785867847	32.1155853271	-1.1731246710
0.6786446620	32.1510620117	-1.1736469269
0.6787025399	32.2086715698	-1.1744906902
0.6787603942	32.2549819946	-1.1751651764
0.6788182721	32.2952995300	-1.1757495403
0.6788761495	32.3422164917	-1.1764264107
0.6789340274	32.3963546753	-1.1772031784
0.6789918820	32.4383850098	-1.1778030396
0.6790497597	32.4746818542	-1.1783188581
0.6791076370	32.5146064758	-1.1788839102
0.6791654918	32.5646057129	-1.1795880795
